,Sentence,Sentiment,Translated_Sentence
1801,"H+Ñkan Dahlstr+Âm , head of mobility services at TeliaSonera , has forecast that mobile data volume on the TeliaSonera network in Sweden will rise eight-fold to 200,000 TB by 2014 .",positive,"H+Ñkan Dahlstr+Âm , kepala layanan mobilitas di TeliaSonera , memperkirakan bahwa volume data seluler di jaringan TeliaSonera di Swedia akan meningkat delapan kali lipat menjadi 200.000 TB pada tahun 2014 ."
1802,"Belarus OAO Lidskoe Pivo brewery , based in the Grodno Region , reported a 1.1 % decrease in output to 1.045 million decaliters in January-March 2010 , a representative in the administration of the company told .",neutral,"Pabrik bir OAO Lidskoe Pivo Belarusia, yang berbasis di Wilayah Grodno, melaporkan penurunan produksi 1,1% menjadi 1,045 juta dekaliter pada Januari-Maret 2010, seorang perwakilan di administrasi perusahaan mengatakan."
1803,The bridge will be built to the south of the existing bridge spanning the strait .,neutral,Jembatan itu akan dibangun di sebelah selatan jembatan eksisting yang membentang di selat itu.
1804,The deal will have no significant effect on the acquiring company 's equity ratio .,neutral,Kesepakatan itu tidak akan berpengaruh signifikan terhadap rasio ekuitas perusahaan yang mengakuisisi.
1805,Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation,neutral,Eksposur risiko oleh Asuransi Non-Jiwa Pemindahan 12-bulan Biaya berdasarkan fungsi dalam Asuransi Non-Jiwa tidak termasuk biaya untuk manajemen investasi dan biaya untuk layanan lain yang diberikan Portofolio investasi Asuransi Non-Jiwa berdasarkan alokasi
1806,The company is also featured in the Ethibel Pioneer Investment Register and included in Innovest 's Global 100 list of the world 's most sustainable corporations .,positive,Perusahaan ini juga ditampilkan dalam Daftar Investasi Ethibel Pioneer dan termasuk dalam daftar 100 Global Innovest dari perusahaan yang paling berkelanjutan di dunia.
1807,The value of the multi-year agreement is over EUR 2mn a year .,neutral,Nilai perjanjian multi-tahun lebih dari EUR 2 juta setahun .
1808,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",negative,"Glencore Pangkas Anggaran 2015, Berencana Divestasi Dari Lonmin"
1809,Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive,"Arus kas dari operasi bisnis mencapai EUR 0,4 juta dibandingkan dengan negatif EUR 15,5 juta pada paruh pertama tahun 2008 ."
1810,"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive,"Dibandingkan dengan indeks FTSE 100, yang naik 28,3 poin atau 0,5% pada hari itu, ini merupakan perubahan harga relatif sebesar 2,3%."
1811,"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",negative,"Saat ini, Valio tidak khawatir, tetapi jika larangan itu berlangsung lama, itu bisa menjadi masalah besar."
1812,Zurich Insurance Considering Offer for UK Rival RSA Insurance,positive,Asuransi Zurich Mempertimbangkan Penawaran untuk Asuransi RSA Saingan Inggris
1813,"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn .",neutral,"Setelah membeli 50 persen saham Eukor Car Carriers, Grimaldi Group sekarang menjadi pemilik tunggal pelabuhan roll-on dan roll-off Wallhamn di Swedia."
1814,"Destia Oy is a Finnish infrastructure and construction service company building , maintaining and designing traffic routes , industrial and traffic environments , but also complete living environments .",neutral,"Destia Oy adalah perusahaan jasa konstruksi dan infrastruktur Finlandia yang membangun, memelihara dan merancang rute lalu lintas, lingkungan industri dan lalu lintas, tetapi juga melengkapi lingkungan hidup."
1815,"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,"ALEXANDRIA, Va., 28 Maret -- Pertti Salmi dan Hanna Vuolteenaho, keduanya dari Oulu, Finlandia, dan Sami Viitasaari dari Ii, Finlandia, telah mengembangkan desain hias untuk sebuah handset, Kantor Paten & Merek Dagang AS mengumumkan."
1816,It will also strengthen Ruukki 's offshore business .,positive,Ini juga akan memperkuat bisnis lepas pantai Ruukki.
1817,The handset maker did not disclose any financial details .,neutral,Pembuat handset tidak mengungkapkan rincian keuangan apapun.
1818,The plant is expected to start production in the first half of 2007 .,neutral,Pabrik tersebut diharapkan mulai berproduksi pada semester pertama tahun 2007 .
1819,"The restructuring creates a more efficient organization with increased operational focus and stable profitability , and leads to more efficient production , said Bo Annvik , head of Specialty Stainless .",positive,"Restrukturisasi menciptakan organisasi yang lebih efisien dengan fokus operasional yang meningkat dan profitabilitas yang stabil, dan mengarah pada produksi yang lebih efisien, kata Bo Annvik, kepala Specialty Stainless."
1820,The electricity requirement of networks will grow with the new mobile generation .,neutral,Kebutuhan listrik jaringan akan tumbuh dengan generasi ponsel baru.
1821,"Order intake , on the other hand , is expected to be stronger than in 2007 .",positive,"Asupan pesanan , di sisi lain , diperkirakan akan lebih kuat dari tahun 2007 ."
1822,"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,"Laba bersih dalam tiga bulan hingga 31 Maret turun menjadi (x20ac) 103 juta (US$165 juta) dari (x20ac) 131 juta setahun sebelumnya, kata perusahaan Finlandia itu."
1823,"CHS Expo Freight is a major Finnish fair , exhibition and culture logistics company that provides logistics services to various events by land , air and sea .",neutral,"CHS Expo Freight adalah perusahaan logistik pameran, pameran dan budaya Finlandia yang menyediakan layanan logistik untuk berbagai acara melalui darat, udara dan laut."
1824,No changes regarding the Virala Oy Ab s ownership of shares of Tiimari has taken place .,neutral,Tidak ada perubahan mengenai kepemilikan Virala Oy Ab atas saham Tiimari telah terjadi.
1825,"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",neutral,"Proha Plc ( Euronext :7327 ) hari ini mengumumkan ( 19 Mei ) bahwa anak perusahaannya yang sepenuhnya dimiliki , Safran Software Solutions AS , telah setuju untuk menjual 49% sahamnya dari Safran North America LLC kepada SNA Holding AS , sebuah grup investasi yang berbasis di Norwegia ."
1826,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,"Laba operasional mencapai EUR 21,1 juta, naik dari EUR 18,6 juta pada tahun 2007, mewakili 9,7% dari penjualan bersih."
1827,"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",negative,"Penyedia solusi dan sistem catu daya Finlandia Efore Oyj mengatakan kerugian bersihnya melebar menjadi 3,2 juta euro $4,2 juta untuk kuartal pertama fiskal 2006-2007 yang berakhir 31 Oktober 2007 dari 900.000 euro $1,2 juta untuk periode yang sama fiskal 2005-06 ."
1828,Long $GPRO for a brealout trade,positive,Long $GPRO untuk perdagangan brealout
1829,The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,neutral,Syarat dan ketentuan Skema Opsi Saham 2004 tersedia di situs web Grup.
1830,Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,positive,Penjualan bersih tumbuh pada periode tersebut menjadi x20ac 402 juta $585US juta dari x20ac 401 juta pada tahun 2006 .
1831,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",negative,"Margin operasi, bagaimanapun, turun menjadi 14,4% dari 15,1%, terseret oleh kinerja yang buruk dalam solusi perusahaan."
1832,"Trading under the name Velta UK , a former Uponor brand , the company has been Uponor 's long-term partner in supplying Velta-branded systems particularly for the commercial and industrial building sector in the UK and internationally .",neutral,"Berdagang dengan nama Velta UK, bekas merek Uponor, perusahaan telah menjadi mitra jangka panjang Uponor dalam memasok sistem bermerek Velta khususnya untuk sektor bangunan komersial dan industri di Inggris dan internasional."
1833,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",neutral,"Dolce & Gabbana telah meminta Uni Eropa untuk menyatakan merek dagang ``Unikko' bermotif bunga Marimekko Corporation tidak valid, dalam perselisihan yang berlanjut antara kedua perusahaan tersebut."
1834,Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks .,neutral,Versi elektronik memerlukan 24-48 jam karena setiap salinan disesuaikan dengan klien dengan kontrol digital dan tanda air khusus.
1835,"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .",neutral,"Kontrak tersebut mencakup penyediaan peralatan pemanas sementara untuk pabrik pelet baru LKAB di Kiruna, di Swedia utara."
1836,"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",neutral,"Amerika Latin saat ini menyumbang sekitar 40% dari penjualan di pemasok BSS-OSS dan VAS Finlandia untuk operator telekomunikasi Tecnotree, presiden dan CEO perusahaan Eero Mertano mengatakan kepada BNamericas."
1837,"Operating profit was EUR 139.7 mn , up 23 % from EUR 113.8 mn .",positive,"Laba operasional adalah EUR 139,7 juta, naik 23% dari EUR 113,8 juta."
1838,"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .",positive,"Arus kas dari operasi mencapai EUR 7,4 juta , dibandingkan dengan negatif EUR 68,6 juta pada kuartal kedua tahun 2008 ."
1839,Her present position is the director of Stockmann 's international department stores .,neutral,Posisinya sekarang adalah direktur department store internasional Stockmann.
1840,Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,negative,Juniper jatuh pada peringatan Q1; Cisco juga menurunkan https://t.co/N8X8BpLJ1E $JNPR $CSCO
1841,Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,neutral,Finlandia Rautaruukki menjual tabung presisi dan unit pemrosesan komponen otomotif Carl Froh di Jerman ke German Arques Industries.
1842,Forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests .,neutral,Sertifikasi hutan adalah sistem sukarela yang bertujuan untuk mempromosikan pengelolaan hutan lestari di hutan komersial.
1843,The products have a low salt and fat content .,neutral,Produk memiliki kandungan garam dan lemak yang rendah.
1844,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,positive,PEMBARUAN 5-SABMiller menolak pendekatan pengambilalihan senilai $104 miliar dari AB InBev
1845,"POYRY PLCCompany Announcement 10 December 2010 at 4.10 p.m. Pursuant to Poyry PLC 's stock option program 2004 , 63 792 new shares of the company have been subscribed since 27 October 2010 with stock options 2004B .",neutral,"POYRY PLCPengumuman Perusahaan 10 Desember 2010 pukul 16.10 Berdasarkan program opsi saham Poyry PLC 2004 , 63.792 saham baru perusahaan telah diambil bagiannya sejak 27 Oktober 2010 dengan opsi saham 2004B ."
1846,The new units should become one of the largest ones within the company .,neutral,Unit-unit baru harus menjadi salah satu yang terbesar di dalam perusahaan.
1847,"In this case , the effect would be negative in Finland .",neutral,"Dalam hal ini, efeknya akan negatif di Finlandia."
1848,Prices and delivery volumes of broadband products decreased significantly in 2005 .,neutral,Harga dan volume pengiriman produk broadband menurun secara signifikan pada tahun 2005 .
1849,"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",positive,"$KNDI #China #Pembuat Mobil Listrik. Penjualan mobil China +7,8%. Juga, mungkin memberi makan momentum $TSLA yang berjalan akhir-akhir ini."
1850,"According to Bosse , the present cooperation is beneficial to all parties , however .",positive,"Namun, menurut Bosse, kerja sama saat ini menguntungkan semua pihak."
